Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
12422;Sürth Bf;SUT;124;7.00428;50.8646;BUS;131 134
12423;Sürth Bf;SUT;124;7.00387;50.86525;BUS;130 197
12424;Sürth Bf;SUT;124;7.00437;50.86514;BUS;130 197
12431;Sürth Bf;SUT;124;7.00341;50.86478;BUS;
12432;Sürth Bf;SUT;124;7.00341;50.86471;BUS;
12521;Wesselinger Str.;WLI;125;7.00455;50.86038;BUS;131 134
12621;Marktplatz Sürth;MAP;126;7.0071;50.862;BUS;131 134
12622;Marktplatz Sürth;MAP;126;7.0078;50.86232;BUS;131 134
12721;Kölnstr.;KST;127;7.01146;50.8645;BUS;131 134
12722;Kölnstr.;KST;127;7.01204;50.8649;BUS;131 134
12821;Ernst-Volland-Str.;EVS;128;7.01719;50.86747;BUS;131 134
12822;Ernst-Volland-Str.;EVS;128;7.01806;50.86809;BUS;131 134
12921;Hammerschmidtstr.;HAM;129;7.02115;50.87099;BUS;131 134
12922;Hammerschmidtstr.;HAM;129;7.0213;50.87113;BUS;131 134
13021;Ritterstr.;RIT;130;7.02391;50.87246;BUS;131 134
13022;Ritterstr.;RIT;130;7.02486;50.87302;BUS;131 134
13121;Weißer Hauptstr.;WHS;131;7.02966;50.87568;BUS;131 134
13122;Weißer Hauptstr.;WHS;131;7.0291;50.87536;BUS;131 134
13221;Weiß Friedhof;WEF;132;7.02674;50.87736;BUS;131 134
13222;Weiß Friedhof;WEF;132;7.02698;50.87719;BUS;131 134
13321;Zum Hedelsberg;ZHE;133;7.0208;50.8791;BUS;131 134
13322;Zum Hedelsberg;ZHE;133;7.02144;50.87895;BUS;131 134
13411;Godorf Bf;BFG;134;6.97855;50.84739;STRAB;16
13412;Godorf Bf;BFG;134;6.97815;50.84683;STRAB;16
13414;Godorf Bf;BFG;134;6.97837;50.84728;STRAB;
13421;Godorf Bf;BFG;134;6.97856;50.8478;BUS;135
13422;Godorf Bf;BFG;134;6.97856;50.8478;BUS;135
13521;Pierstr.;PIE;135;6.97571;50.84913;BUS;135
13522;Pierstr.;PIE;135;6.97567;50.84906;BUS;135
13621;Otto-Hahn-Str.;OHS;136;6.97455;50.85858;BUS;135
13622;Otto-Hahn-Str.;OHS;136;6.97479;50.85791;BUS;135
13721;Bunsenstr.;BUN;137;6.97522;50.85308;BUS;135
13722;Bunsenstr.;BUN;137;6.97532;50.85349;BUS;135
13821;Friedhof Godorf;FHG;138;6.97093;50.85043;BUS;135
13822;Friedhof Godorf;FHG;138;6.97118;50.85035;BUS;135
13922;Immendorf Siedlung;ISI;139;6.96586;50.85366;BUS;135
13923;Immendorf Siedlung;ISI;139;6.96532;50.854;BUS;135
14021;Immendorf;IMM;140;6.9591;50.85874;BUS;135
14022;Immendorf;IMM;140;6.95986;50.85835;BUS;135
14121;Zaunhof;ZAU;141;6.95533;50.86014;BUS;135
14122;Zaunhof;ZAU;141;6.95481;50.86047;BUS;135
14211;Mohnweg;MWG;142;6.85551;50.93795;STRAB;1
14212;Mohnweg;MWG;142;6.85477;50.938;STRAB;1
14311;Universitätsstr.;UNV;143;6.92427;50.93665;STRAB;1 7
14312;Universitätsstr.;UNV;143;6.92519;50.93667;STRAB;1 7
14321;Universitätsstr.;UNV;143;6.92495;50.93627;BUS;142
14322;Universitätsstr.;UNV;143;6.92453;50.93598;BUS;142
14323;Universitätsstr.;UNV;143;6.92372;50.93654;BUS;172 173
14324;Universitätsstr.;UNV;143;6.92277;50.93681;BUS;172 173
14411;Melaten;MEL;144;6.91705;50.93673;STRAB;1 7
14412;Melaten;MEL;144;6.91622;50.93679;STRAB;1 7
14421;Melaten;MEL;144;6.91626;50.93665;BUS;172 173
14422;Melaten;MEL;144;6.91644;50.93686;BUS;172 173
14521;Hildegardis-Krankenhaus;HKH;145;6.92351;50.93047;BUS;136 146
14522;Hildegardis-Krankenhaus;HKH;145;6.92256;50.93061;BUS;136 146
14621;Geibelstr.;GEI;146;6.91823;50.92778;BUS;146
14622;Geibelstr.;GEI;146;6.91865;50.92816;BUS;146
14721;Leiblplatz;LEI;147;6.91556;50.92563;BUS;146
14722;Leiblplatz;LEI;147;6.91663;50.92669;BUS;146
14821;Karl-Schwering-Platz;KSP;148;6.9165;50.93079;BUS;136
14822;Karl-Schwering-Platz;KSP;148;6.91745;50.9312;BUS;136
14921;Theresienstr.;THE;149;6.91283;50.92934;BUS;136
14922;Theresienstr.;THE;149;6.91339;50.92964;BUS;136
15011;Weißhausstr.;WEH;150;6.93379;50.92172;STRAB;18
15012;Weißhausstr.;WEH;150;6.93313;50.92114;STRAB;18
15021;Weißhausstr.;WEH;150;6.93365;50.9213;BUS;142
15022;Weißhausstr.;WEH;150;6.93333;50.92158;BUS;142
15111;Arnulfstr.;ANU;151;6.93052;50.91853;STRAB;18
15112;Arnulfstr.;ANU;151;6.92989;50.91805;STRAB;18
15131;Arnulfstr.;ANU;151;6.93055;50.91846;BUS;
15132;Arnulfstr.;ANU;151;6.93027;50.91853;BUS;
15211;Sülzburgstr.;SBU;152;6.92727;50.91543;STRAB;18
15212;Sülzburgstr.;SBU;152;6.92665;50.91496;STRAB;18
15221;Sülzburgstr.;SBU;152;6.92834;50.91544;BUS;131
15222;Sülzburgstr.;SBU;152;6.92695;50.916;BUS;131
15223;Sülzburgstr.;SBU;152;6.92594;50.91645;BUS;185
15224;Sülzburgstr.;SBU;152;6.92594;50.91645;BUS;185
15231;Sülzburgstr.;SBU;152;6.92783;50.91589;BUS;
15232;Sülzburgstr.;SBU;152;6.9271;50.91555;BUS;
15311;Universität;UNI;153;6.9312;50.92599;STRAB;9
15312;Universität;UNI;153;6.93054;50.92561;STRAB;9
15313;Universität;UNI;153;6.93113;50.92614;STRAB;9
15314;Universität;UNI;153;6.93048;50.92591;STRAB;9
15321;Universität;UNI;153;6.9295;50.92642;BUS;130 134 142
15322;Universität;UNI;153;6.92971;50.92538;BUS;130 134 142
15323;Universität;UNI;153;6.9295;50.92642;BUS;130 134
15411;Weyertal;WEY;154;6.9267;50.92395;STRAB;9
15412;Weyertal;WEY;154;6.92733;50.92416;STRAB;9
15431;Weyertal;WEY;154;6.92633;50.92382;BUS;
15432;Weyertal;WEY;154;6.92761;50.92425;BUS;
15433;Weyertal;WEY;154;6.92633;50.92382;BUS;
15511;Lindenburg;LIN;155;6.92199;50.92237;STRAB;9
15512;Lindenburg;LIN;155;6.9215;50.92218;STRAB;9
15531;Lindenburg;LIN;155;6.92129;50.92209;BUS;
15532;Lindenburg;LIN;155;6.92228;50.92248;BUS;
15621;Konradstr.;KON;156;6.92744;50.92004;BUS;130 134
15622;Konradstr.;KON;156;6.92766;50.92036;BUS;130 134
15721;Gerolsteiner Str.;SBE;157;6.92371;50.91713;BUS;130 131 134 185
15722;Gerolsteiner Str.;SBE;157;6.92355;50.91682;BUS;130 134
15921;Rhöndorfer Str.;RHO;159;6.9327;50.91382;BUS;131
15922;Rhöndorfer Str.;RHO;159;6.93244;50.91384;BUS;131
16011;Sülzgürtel;SZG;160;6.92362;50.91194;STRAB;18
16012;Sülzgürtel;SZG;160;6.92308;50.91154;STRAB;18
16013;Sülzgürtel;SZG;160;6.92347;50.91263;STRAB;13
16014;Sülzgürtel;SZG;160;6.92271;50.91302;STRAB;13
16015;Sülzgürtel;SZG;160;6.92339;50.91258;STRAB;13
16021;Sülzgürtel;SZG;160;6.92358;50.91263;BUS;130 134 185
16022;Sülzgürtel;SZG;160;6.92296;50.91269;BUS;130 134 185
16031;Sülzgürtel;SZG;160;6.92364;50.91187;BUS;
16032;Sülzgürtel;SZG;160;6.92333;50.91192;BUS;
16211;Berrenrather Str./Gürtel;BRG;162;6.92009;50.91487;STRAB;13
16212;Berrenrather Str./Gürtel;BRG;162;6.92071;50.91439;STRAB;13
16221;Berrenrather Str./Gürtel;BRG;162;6.92175;50.91496;BUS;130 134 185
16222;Berrenrather Str./Gürtel;BRG;162;6.92137;50.91467;BUS;130 134 185
16223;Berrenrather Str./Gürtel;BRG;162;6.92193;50.91455;BUS;131
16224;Berrenrather Str./Gürtel;BRG;162;6.92193;50.91455;BUS;131
16231;Berrenrather Str./Gürtel;BRG;162;6.92061;50.91423;BUS;
16232;Berrenrather Str./Gürtel;BRG;162;6.92058;50.91463;BUS;
16311;Euskirchener Str.;EUS;163;6.91758;50.9166;STRAB;13
16312;Euskirchener Str.;EUS;163;6.91707;50.91703;STRAB;13
16411;Zülpicher Str./Gürtel;ZPG;164;6.91548;50.92008;STRAB;13
16412;Zülpicher Str./Gürtel;ZPG;164;6.91504;50.92066;STRAB;13
16413;Zülpicher Str./Gürtel;ZPG;164;6.91562;50.92042;STRAB;9
16414;Zülpicher Str./Gürtel;ZPG;164;6.91482;50.92026;STRAB;9
16431;Zülpicher Str./Gürtel;ZPG;164;6.91446;50.9202;BUS;
16432;Zülpicher Str./Gürtel;ZPG;164;6.91596;50.92051;BUS;
16511;Mommsenstr.;MOM;165;6.91047;50.91923;STRAB;9
16512;Mommsenstr.;MOM;165;6.90995;50.91893;STRAB;9
16611;Sülz Hermeskeiler Platz;SHP;166;6.90753;50.91731;STRAB;9
16612;Sülz Hermeskeiler Platz;SHP;166;6.90693;50.91693;STRAB;9
16711;Klettenbergpark;KLB;167;6.91981;50.9083;STRAB;18
16712;Klettenbergpark;KLB;167;6.9193;50.90793;STRAB;18
16731;Klettenbergpark;KLB;167;6.91895;50.90737;BUS;
16732;Klettenbergpark;KLB;167;6.91934;50.90817;BUS;
16733;Klettenbergpark;KLB;167;6.91934;50.90817;BUS;
16734;Klettenbergpark;KLB;167;6.91934;50.90817;BUS;
16821;Siebengebirgsallee;SGA;168;6.929;50.90986;BUS;130 134 185
16822;Siebengebirgsallee;SGA;168;6.92797;50.91009;BUS;130 134 185
16911;Wüllnerstr.;WUE;169;6.90805;50.93106;STRAB;7 13
16912;Wüllnerstr.;WUE;169;6.90798;50.9313;STRAB;7 13
17011;Dürener Str./Gürtel;DSG;170;6.90857;50.92874;STRAB;7 13
17012;Dürener Str./Gürtel;DSG;170;6.90868;50.92825;STRAB;7 13
17021;Dürener Str./Gürtel;DSG;170;6.90993;50.92819;BUS;136
17022;Dürener Str./Gürtel;DSG;170;6.90975;50.9282;BUS;136
17121;Kitschburger Str.;KIT;171;6.90099;50.92623;BUS;136
17122;Kitschburger Str.;KIT;171;6.90208;50.92642;BUS;136
17211;Brahmsstr.;BRA;172;6.89818;50.92595;STRAB;7
17212;Brahmsstr.;BRA;172;6.89849;50.92606;STRAB;7
17221;Brahmsstr.;BRA;172;6.89726;50.92572;BUS;136
17222;Brahmsstr.;BRA;172;6.89931;50.92617;BUS;136
17311;Gleueler Str./Gürtel;GSG;173;6.91173;50.92442;STRAB;13
17312;Gleueler Str./Gürtel;GSG;173;6.91214;50.9239;STRAB;13
17321;Gleueler Str./Gürtel;GSG;173;6.91131;50.92332;BUS;146
17322;Gleueler Str./Gürtel;GSG;173;6.91296;50.92417;BUS;146
17331;Gleueler Str./Gürtel;GSG;173;6.91166;50.92393;BUS;
17332;Gleueler Str./Gürtel;GSG;173;6.91222;50.92406;BUS;
17421;Hohenlind;HOL;174;6.89719;50.92474;BUS;136
17422;Hohenlind;HOL;174;6.89731;50.92428;BUS;136
17521;Krieler Str.;KRI;175;6.90701;50.92139;BUS;146
17522;Krieler Str.;KRI;175;6.90787;50.92189;BUS;146
17621;Koppensteinstr.;KPP;176;6.90232;50.91844;BUS;146
17622;Koppensteinstr.;KPP;176;6.90294;50.91892;BUS;146
17721;Deckstein;DKS;177;6.90006;50.91681;BUS;146
17722;Deckstein;DKS;177;6.90006;50.91681;BUS;146
17811;Aachener Str./Gürtel;ASG;178;6.90769;50.93703;STRAB;1
17812;Aachener Str./Gürtel;ASG;178;6.90944;50.93699;STRAB;1 7
17813;Aachener Str./Gürtel;ASG;178;6.90842;50.93651;STRAB;7 13
17814;Aachener Str./Gürtel;ASG;178;6.90861;50.93732;STRAB;13
17821;Aachener Str./Gürtel;ASG;178;6.91186;50.93704;BUS;140
17822;Aachener Str./Gürtel;ASG;178;6.90952;50.93711;BUS;140 172 173
17823;Aachener Str./Gürtel;ASG;178;6.90969;50.93686;BUS;172 173
17835;Aachener Str./Gürtel;ASG;178;6.90952;50.93711;BUS;
17911;Maarweg;MAA;179;6.89982;50.9372;STRAB;1
17912;Maarweg;MAA;179;6.89893;50.93724;STRAB;1
17921;Maarweg;MAA;179;6.89918;50.93707;BUS;172 173
17922;Maarweg;MAA;179;6.8995;50.93734;BUS;172 173
18011;Clarenbachstift;CBS;180;6.8948;50.93729;STRAB;1
18012;Clarenbachstift;CBS;180;6.89391;50.93734;STRAB;1
18031;Clarenbachstift;CBS;180;6.89368;50.93746;BUS;
18032;Clarenbachstift;CBS;180;6.8946;50.93717;BUS;
18111;Eupener Str.;EUP;181;6.88997;50.93743;STRAB;1
18112;Eupener Str.;EUP;181;6.88903;50.93749;STRAB;1
18121;Eupener Str.;EUP;181;6.88844;50.93736;BUS;172 173
18122;Eupener Str.;EUP;181;6.88907;50.9376;BUS;172 173
18211;Melatengürtel;OJS;182;6.91056;50.93936;STRAB;13
18212;Melatengürtel;OJS;182;6.91097;50.9398;STRAB;13
18221;Melatengürtel;OJS;182;6.91035;50.94015;BUS;140
18222;Melatengürtel;OJS;182;6.91011;50.94067;BUS;140
18321;Stolberger Str./Eupener Str.;STO;183;6.88898;50.94226;BUS;140
18322;Stolberger Str./Eupener Str.;STO;183;6.88871;50.94235;BUS;140
18421;Geilenkircher Str.;SBM;184;6.89817;50.94189;BUS;140
18422;Geilenkircher Str.;SBM;184;6.89695;50.94212;BUS;140
18521;Müngersdorf Technologiepark S-Bahn;MTP;185;6.88818;50.94846;BUS;139 140 144
18522;Müngersdorf Technologiepark S-Bahn;MTP;185;6.88833;50.94829;BUS;139 140 144
18611;Alter Militärring;MGD;186;6.88187;50.93769;STRAB;1
18612;Alter Militärring;MGD;186;6.88098;50.93775;STRAB;1
18621;Alter Militärring;MGD;186;6.8821;50.93808;BUS;141 143 144
18622;Alter Militärring;MGD;186;6.88116;50.93785;BUS;141 143 144
18623;Alter Militärring;MGD;186;6.8818;50.93826;BUS;144
18631;Alter Militärring;MGD;186;6.8815;50.93758;BUS;
18711;RheinEnergieSTADION;STD;187;6.87501;50.93759;STRAB;1
18712;RheinEnergieSTADION;STD;187;6.87448;50.93763;STRAB;1
18731;RheinEnergieSTADION;STD;187;6.8751;50.9379;BUS;
18733;RheinEnergieSTADION;STD;187;6.87462;50.93774;BUS;
18821;Wendelinstr.;WDL;188;6.87987;50.94069;BUS;141 143 144
18822;Wendelinstr.;WDL;188;6.88041;50.93988;BUS;141 143 144
18921;Herrigergasse;HRR;189;6.87651;50.94155;BUS;144
18922;Herrigergasse;HRR;189;6.87633;50.9417;BUS;144
19021;Kämpchensweg;KAE;190;6.87298;50.94521;BUS;144
19022;Kämpchensweg;KAE;190;6.87336;50.94467;BUS;144
19121;Am Lindenweg;EGP;191;6.8628;50.95086;BUS;144
19122;Am Lindenweg;EGP;191;6.86255;50.95141;BUS;144
19221;Flachsweg;FLA;192;6.86128;50.94613;BUS;144
19222;Flachsweg;FLA;192;6.85963;50.94601;BUS;144
19321;Leinsamenweg;LSW;193;6.8536;50.94533;BUS;144
19322;Leinsamenweg;LSW;193;6.85327;50.94547;BUS;144
19421;Roggenweg;RGG;194;6.84906;50.94779;BUS;144
19422;Roggenweg;RGG;194;6.85132;50.9475;BUS;144
19521;Vitalisstr. Süd;VTS;195;6.88234;50.94314;BUS;141 143
19522;Vitalisstr. Süd;VTS;195;6.8821;50.9431;BUS;141 143
19621;Widdersdorfer Str.;WDS;196;6.88545;50.94654;BUS;141
19622;Widdersdorfer Str.;WDS;196;6.88535;50.94653;BUS;141
19721;Technologiepark Köln;TPK;197;6.89138;50.94665;BUS;139 141 143
19723;Technologiepark Köln;TPK;197;6.89031;50.94685;BUS;139 141 143
19821;Schwindstr.;SWI;198;6.8616;50.94081;BUS;141 172
19822;Schwindstr.;SWI;198;6.86164;50.94086;BUS;141 172
19921;Böcklinstr.;BLS;199;6.85819;50.94152;BUS;141 172
19922;Böcklinstr.;BLS;199;6.85928;50.94136;BUS;141 172
20011;Junkersdorf;JUK;200;6.86921;50.93765;STRAB;1
20012;Junkersdorf;JUK;200;6.86849;50.93769;STRAB;1
20021;Junkersdorf;JUK;200;6.86766;50.93744;BUS;141 143 148
20022;Junkersdorf;JUK;200;6.86802;50.93793;BUS;141 143
20023;Junkersdorf;JUK;200;6.86766;50.93744;BUS;143
20024;Junkersdorf;JUK;200;6.86756;50.93743;BUS;144
20026;Junkersdorf;JUK;200;6.86756;50.93743;BUS;144 148
20122;Sürther Str.;SÜS;201;7.00461;50.87729;BUS;130
20221;Eygelshovener Str.;EYG;202;7.01101;50.87786;BUS;130 197
20222;Eygelshovener Str.;EYG;202;7.01092;50.87778;BUS;130 197
20321;Birkenallee;BIR;203;6.86044;50.93382;BUS;143 148
20322;Birkenallee;BIR;203;6.86027;50.93379;BUS;143 148
20421;Kölner Weg;KNW;204;6.85748;50.93173;BUS;143 148
20422;Kölner Weg;KNW;204;6.85755;50.93128;BUS;143 148
20521;Sterrenhofweg;SHW;205;6.85446;50.92806;BUS;136 148 173
20522;Sterrenhofweg;SHW;205;6.85477;50.92816;BUS;136 148 173
20621;Beethovenstr.;BET;206;6.85251;50.92965;BUS;136 148 173
20622;Beethovenstr.;BET;206;6.85262;50.92952;BUS;136 148 173
20721;Südallee;SAL;207;6.86401;50.9305;BUS;143 148
20722;Südallee;SAL;207;6.86411;50.93046;BUS;143 148
20821;Auf dem Loor;ADL;208;7.02934;50.85839;BUS;117
20822;Auf dem Loor;ADL;208;7.03017;50.85874;BUS;117
20921;Wiener Weg;WNW;209;6.86537;50.92707;BUS;136 143 148 173
20922;Wiener Weg;WNW;209;6.86507;50.9268;BUS;136 143 148 173
21021;Bayenwerft;BAW;210;6.96287;50.92896;BUS;133
21022;Bayenwerft;BAW;210;6.96297;50.9277;BUS;133
21121;Egelspfad;EGE;211;6.85429;50.94207;BUS;141 172
21122;Egelspfad;EGE;211;6.85327;50.94222;BUS;141 172
21221;Bf Lövenich;LOV;212;6.83258;50.94371;BUS;136 141 145 148 149 172
21222;Bf Lövenich;LOV;212;6.83399;50.94317;BUS;136 141 144 145 148 149 172
21223;Bf Lövenich;LOV;212;6.83258;50.94371;BUS;144
21321;Seithümerstr.;SEI;213;6.83237;50.94631;BUS;136 144 149
21322;Seithümerstr.;SEI;213;6.83234;50.94639;BUS;136 144 149
21421;Dieselstr.;DIS;214;6.83988;50.94695;BUS;136 144 149
21422;Dieselstr.;DIS;214;6.83993;50.94703;BUS;136 144 149
21521;Zaunstr.;ZST;215;6.82975;50.94704;BUS;145 148 172
21522;Zaunstr.;ZST;215;6.83009;50.94712;BUS;145 148 172
21621;An der Ronne;ADR;216;6.82862;50.95021;BUS;145 148 172
21622;An der Ronne;ADR;216;6.82883;50.95139;BUS;145 148 172
21721;Spitzangerweg;SPI;217;6.82691;50.94748;BUS;141
21722;Spitzangerweg;SPI;217;6.82653;50.94721;BUS;141
21821;Saarstr.;LSA;218;6.82138;50.94398;BUS;141
21823;Saarstr.;LSA;218;6.82198;50.94356;BUS;141
21921;Severinusstr.;SVU;219;6.8251;50.94283;BUS;141
21922;Severinusstr.;SVU;219;6.82474;50.94286;BUS;141
22023;Braugasse;BAU;220;6.8281;50.943;BUS;141
22024;Braugasse;BAU;220;6.82862;50.94299;BUS;141
22121;Selma-Lagerlöf-Str.;SLL;221;6.82853;50.94171;BUS;141
22122;Selma-Lagerlöf-Str.;SLL;221;6.8286;50.94183;BUS;141
22221;Frechener Weg;FWG;222;6.82664;50.93889;BUS;141
22222;Frechener Weg;FWG;222;6.8267;50.93932;BUS;141
22321;Üsdorf;UES;223;6.82672;50.93522;BUS;145
22322;Üsdorf;UES;223;6.82679;50.93497;BUS;145
22421;Weiden Sportplatz;WSP;224;6.84095;50.94225;BUS;141 172
22422;Weiden Sportplatz;WSP;224;6.84118;50.94223;BUS;141 172
22521;Stormstr.;STM;225;6.84531;50.94198;BUS;141 172
22522;Stormstr.;STM;225;6.84515;50.94205;BUS;141 172
22621;Sürther Feldallee;SFA;226;7.01053;50.8752;BUS;130 197
22622;Sürther Feldallee;SFA;226;7.0106;50.87603;BUS;130 197
22721;Ostlandstr.;OST;227;6.83457;50.93567;BUS;136 148 173
22722;Ostlandstr.;OST;227;6.83322;50.9363;BUS;136 145 148
22723;Ostlandstr.;OST;227;6.83185;50.93578;BUS;145
22724;Ostlandstr.;OST;227;6.8354;50.93536;BUS;173
22811;Rosenhügel;RSH;228;7.05995;50.87395;STRAB;7
22812;Rosenhügel;RSH;228;7.06015;50.87439;STRAB;7
22921;Diepenbeekallee;DPB;229;6.84583;50.93524;BUS;136 148
22922;Diepenbeekallee;DPB;229;6.84592;50.93538;BUS;136 148
23021;Im Buschfelde;IBU;230;6.83881;50.96768;BUS;145 148 149 172
23022;Im Buschfelde;IBU;230;6.83727;50.96719;BUS;145 148 149 172
23121;Widdersdorf;WID;231;6.83476;50.96655;BUS;145 172
23122;Widdersdorf;WID;231;6.83464;50.96644;BUS;145 148 149 172
23221;Adrian-Meller-Str.;AMS;232;6.83023;50.96377;BUS;145 172
23222;Adrian-Meller-Str.;AMS;232;6.83032;50.96376;BUS;145 172
23321;Blaugasse;BLA;233;6.83031;50.96136;BUS;145 172
23322;Blaugasse;BLA;233;6.83056;50.96143;BUS;145 172
23411;Stüttgenhof;SGH;234;6.87753;50.92008;STRAB;7
23412;Stüttgenhof;SGH;234;6.87683;50.92006;STRAB;7
23511;Marsdorf;MAD;235;6.85913;50.91764;STRAB;7
23512;Marsdorf;MAD;235;6.85722;50.91733;STRAB;7
23521;Marsdorf;MAD;235;6.85835;50.91736;BUS;143
23522;Marsdorf;MAD;235;6.85803;50.91773;BUS;143
23611;Piusstr.;PIU;236;6.92628;50.9458;STRAB;3 4
23612;Piusstr.;PIU;236;6.92573;50.94612;STRAB;3 4
23711;Körnerstr.;KOR;237;6.92085;50.94806;STRAB;3 4
23712;Körnerstr.;KOR;237;6.92026;50.94841;STRAB;3 4
23811;Gutenbergstr.;GUT;238;6.92866;50.95023;STRAB;5
23812;Gutenbergstr.;GUT;238;6.92798;50.95053;STRAB;5
23911;Liebigstr.;LIE;239;6.9252;50.95174;STRAB;5
23912;Liebigstr.;LIE;239;6.92465;50.95206;STRAB;5
23921;Liebigstr.;LIE;239;6.92517;50.9526;BUS;142
23922;Liebigstr.;LIE;239;6.92448;50.95245;BUS;142
24111;Weiden Römergrab;WNS;241;6.82908;50.93833;STRAB;1
24112;Weiden Römergrab;WNS;241;6.82827;50.93842;STRAB;1
24211;Schaffrathsgasse;SRG;242;6.87013;50.97144;STRAB;3
24212;Schaffrathsgasse;SRG;242;6.87034;50.97183;STRAB;3
24321;Walter-Pauli-Ring;WPR;243;6.99493;50.93711;BUS;159 171 179 193
24322;Walter-Pauli-Ring;WPR;243;6.99509;50.93725;BUS;159 171 179 193
24421;Willi-Lauf-Allee;WLA;244;6.86178;50.92598;BUS;136 143 148 173
24422;Willi-Lauf-Allee;WLA;244;6.86161;50.92599;BUS;136 143 148 173
24511;Subbelrather Str./Gürtel;SSG;245;6.92128;50.95469;STRAB;5 13
24512;Subbelrather Str./Gürtel;SSG;245;6.92174;50.95509;STRAB;5 13
24521;Subbelrather Str./Gürtel;SSG;245;6.91956;50.95407;BUS;141 143
24522;Subbelrather Str./Gürtel;SSG;245;6.91979;50.95386;BUS;141 143
24532;Subbelrather Str./Gürtel;SSG;245;6.92107;50.95466;BUS;
24533;Subbelrather Str./Gürtel;SSG;245;6.91956;50.95407;BUS;
24534;Subbelrather Str./Gürtel;SSG;245;6.92152;50.9547;BUS;
24535;Subbelrather Str./Gürtel;SSG;245;6.92172;50.9549;BUS;
24611;Nußbaumerstr.;NBS;246;6.92337;50.95678;STRAB;5 13
24612;Nußbaumerstr.;NBS;246;6.92386;50.95722;STRAB;5 13
24631;Nußbaumerstr.;NBS;246;6.92351;50.9572;BUS;
24633;Nußbaumerstr.;NBS;246;6.9235;50.95721;BUS;
24634;Nußbaumerstr.;NBS;246;6.9236;50.95681;BUS;
24635;Nußbaumerstr.;NBS;246;6.92402;50.9572;BUS;
24711;Lenauplatz;LEN;247;6.91831;50.95864;STRAB;5
24712;Lenauplatz;LEN;247;6.91818;50.95914;STRAB;5
24733;Lenauplatz;LEN;247;6.91819;50.95917;BUS;
24734;Lenauplatz;LEN;247;6.91826;50.95868;BUS;
24821;Heinrich-Erpenbach-Str.;ERP;248;7.00635;50.86903;BUS;130 197
24822;Heinrich-Erpenbach-Str.;ERP;248;7.00638;50.86908;BUS;130 197
24911;Iltisstr.;ILT;249;6.91264;50.96469;STRAB;5
24912;Iltisstr.;ILT;249;6.91243;50.965;STRAB;5
24921;Iltisstr.;ILT;249;6.9124;50.96569;BUS;140
24922;Iltisstr.;ILT;249;6.91137;50.96458;BUS;140
24931;Iltisstr.;ILT;249;6.91255;50.96467;BUS;
24932;Iltisstr.;ILT;249;6.91259;50.96492;BUS;
24933;Iltisstr.;ILT;249;6.91283;50.96444;BUS;
25021;Butzweilerstr.;BZW;250;6.91638;50.96883;BUS;140
25022;Butzweilerstr.;BZW;250;6.91651;50.96879;BUS;140
25111;Venloer Str./Gürtel;VSG;251;6.91654;50.94998;STRAB;13
25112;Venloer Str./Gürtel;VSG;251;6.91616;50.94963;STRAB;13
25113;Venloer Str./Gürtel;VSG;251;6.91639;50.95036;STRAB;3 4
25114;Venloer Str./Gürtel;VSG;251;6.91555;50.95102;STRAB;3 4
25118;Venloer Str./Gürtel;VSG;251;6.91547;50.95097;STRAB;
25121;Venloer Str./Gürtel;VSG;251;6.91595;50.94925;BUS;141 142 143
25122;Venloer Str./Gürtel;VSG;251;6.91556;50.94917;BUS;141 142 143
25221;Eichenstr.;EIS;252;6.86837;50.9264;BUS;136 143 148 173
25222;Eichenstr.;EIS;252;6.86817;50.92647;BUS;136 143 148 173
25321;Geisselstr.;GES;253;6.91652;50.94354;BUS;142
25322;Geisselstr.;GES;253;6.91664;50.94343;BUS;142
25411;Weinsbergstr./Gürtel;MLG;254;6.91278;50.9448;STRAB;13
25412;Weinsbergstr./Gürtel;MLG;254;6.91276;50.94522;STRAB;13
25421;Weinsbergstr./Gürtel;MLG;254;6.91295;50.94535;BUS;141 142 143
25422;Weinsbergstr./Gürtel;MLG;254;6.91195;50.94513;BUS;141 143
25423;Weinsbergstr./Gürtel;MLG;254;6.91343;50.94476;BUS;142
25511;Leyendeckerstr.;LEY;255;6.90974;50.95446;STRAB;3 4
25512;Leyendeckerstr.;LEY;255;6.90867;50.95492;STRAB;3 4
25621;Borsigstr.;BGS;256;6.90519;50.9589;BUS;139 140 141 143
25622;Borsigstr.;BGS;256;6.90515;50.95866;BUS;139 140 141 143
25721;Bf Deutz/Messeplatz;BDP;257;6.97305;50.94204;BUS;150
25722;Bf Deutz/Messeplatz;BDP;257;6.97321;50.94219;BUS;150
25821;Oskar-Jäger-Str.;OSJ;258;6.90667;50.94535;BUS;141 143
25822;Oskar-Jäger-Str.;OSJ;258;6.9071;50.94538;BUS;141 143
25921;Karnevalsmuseum;WIM;259;6.89731;50.94602;BUS;139 141 143
25922;Karnevalsmuseum;WIM;259;6.8989;50.94601;BUS;141 143
25924;Karnevalsmuseum;WIM;259;6.89784;50.94682;BUS;139
26021;Drachenfelsstr.;DFS;260;6.92665;50.90709;BUS;185
26022;Drachenfelsstr.;DFS;260;6.92676;50.90705;BUS;185
26111;Weiden Zentrum;WRB;261;6.83562;50.93817;STRAB;1
26112;Weiden Zentrum;WRB;261;6.83485;50.93833;STRAB;1
