59611,Thielenbruch
59511,Dellbrück Hauptstr.
59411,Dellbrück Mauspfad
58511,Neufelder Str.
58411,Maria-Himmelfahrt-Str.
58311,Holweide Vischeringstr.
57911,Wichheimer Str.
57811,Buchheim Herler Str.
57211,Bf Mülheim
57011,Mülheim Wiener Platz
31511,Slabystr.
31411,Boltensternstr.
31311,Zoo/Flora
3411,Reichenspergerplatz
3511,Ebertplatz
911,Breslauer Platz/Hbf
75211,Dom/Hbf
711,Appellhofplatz
211,Neumarkt
311,Poststr.
2311,Barbarossaplatz
2611,Eifelwall/Stadtarchiv
15011,Weißhausstr.
15111,Arnulfstr.
15211,Sülzburgstr.
16011,Sülzgürtel
16711,Klettenbergpark
73011,Efferen
73211,Kiebitzweg
73311,Hürth-Hermülheim
73111,Fischenich
73811,Brühl Vochem
73411,Brühl Nord
73511,Brühl Mitte
73611,Brühl Süd
73711,Badorf
73911,Schwadorf
67711,Walberberg
67611,Merten
67511,Waldorf
67411,Dersdorf
67311,Bornheim
62811,Bornheim Rathaus
67211,Roisdorf West
68111,Alfter / Alanus Hochschule
